1751223,Nguyen Diep Xuan Quang,17CLC1,ndxquang@apcs.vn,0915345678,0
1751287,Do Tri Nhan,17CLC1,dtnhan@apcs.vn,0915345123,0
1751289,Huynh Minh Quoc Nhat,17CLC1,hmqnhat@apcs.vn,0915345234,0
1751291,Huynh Hai Ninh,17CLC1,hhninh@apcs.vn,0915345345,0
1751292,Ly Kien Phi,17CLC1,lkphi@apcs.vn,0915345456,0
1751293,Nguyen Ngoc Phong,17CLC1,nnphong@apcs.vn,0915345567,0
1751294,Tran Bao Phuc,17CLC1,tbphuc@apcs.vn,0915345678,0
1751296,Nguyen Thi Kim Phuong,17CLC1,ntkpuong@apcs.vn,0915345789,0
1751297,Nguyen Minh Quan,17CLC1,nmquan@apcs.vn,0915345012,0
1751299,Dinh Vu Quynh,17CLC1,dvquynh@apcs.vn,0915345987,0
1751300,Nguyen Hai Son,17CLC1,nhson@apcs.vn,0915345876,0
1751303,Thai Thuan Thanh,17CLC1,ttthanh@apcs.vn,0915345765,0
1751001,Huynh Thanh Vy,17CTT1,htvy@apcs.vn,09976890092,1
