1751135,Nguyen Diep Xuan Quang,17CLC1,ndxquang@apcs.vn,0913345678,0
1751187,Do Tri Nhan,17CLC1,dtnhan@apcs.vn,0913345123,0
1751189,Huynh Minh Quoc Nhat,17CLC1,hmqnhat@apcs.vn,0913345234,0
1751191,Huynh Hai Ninh,17CLC1,hhninh@apcs.vn,0913345345,0
1751192,Ly Kien Phi,17CLC1,lkphi@apcs.vn,0913345456,0
1751193,Nguyen Ngoc Phong,17CLC1,nnphong@apcs.vn,0913345567,0
1751194,Tran Bao Phuc,17CLC1,tbphuc@apcs.vn,0913345678,0
1751196,Nguyen Thi Kim Phuong,17CLC1,ntkpuong@apcs.vn,0913345789,0
1751197,Nguyen Minh Quan,17CLC1,nmquan@apcs.vn,0913345012,0
1751199,Dinh Vu Quynh,17CLC1,dvquynh@apcs.vn,0913345987,0
1751200,Nguyen Hai Son,17CLC1,nhson@apcs.vn,0913345876,0
1751203,Thai Thuan Thanh,17CLC1,ttthanh@apcs.vn,0913345765,0
